ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
93923,12,2017,Gas- Commercial,Y,424,150340,355
93924,10,2017,Gas- Commercial,Y,0,0,NA
93924,11,2017,Gas- Commercial,Y,0,0,NA
93924,12,2017,Gas- Commercial,Y,0,0,NA
93925,10,2017,Gas- Commercial,Y,0,0,NA
93925,11,2017,Gas- Commercial,Y,0,0,NA
93925,12,2017,Gas- Commercial,Y,0,0,NA
93926,10,2017,Gas- Commercial,Y,0,0,NA
93926,11,2017,Gas- Commercial,Y,94,11796,125
93926,12,2017,Gas- Commercial,Y,0,0,NA
93927,10,2017,Gas- Commercial,Y,0,0,NA
93927,11,2017,Gas- Commercial,Y,0,0,NA
93927,12,2017,Gas- Commercial,Y,0,0,NA
93930,10,2017,Gas- Commercial,Y,587,146250,249
93930,11,2017,Gas- Commercial,Y,530,132743,250
93930,12,2017,Gas- Commercial,Y,316,108875,345
93933,10,2017,Gas- Commercial,N,294,49440,168
93933,11,2017,Gas- Commercial,N,295,52833,179
93933,12,2017,Gas- Commercial,N,298,73822,248
93940,10,2017,Gas- Commercial,Y,1759,584382,332
93940,11,2017,Gas- Commercial,Y,1768,645384,365
93940,12,2017,Gas- Commercial,Y,1349,696958,517
93944,10,2017,Gas- Commercial,Y,0,0,NA
93944,11,2017,Gas- Commercial,Y,0,0,NA
93944,12,2017,Gas- Commercial,Y,0,0,NA
93950,10,2017,Gas- Commercial,Y,0,0,NA
93950,11,2017,Gas- Commercial,Y,0,0,NA
93950,12,2017,Gas- Commercial,Y,0,0,NA
93953,10,2017,Gas- Commercial,Y,0,0,NA
93953,11,2017,Gas- Commercial,Y,0,0,NA
93953,12,2017,Gas- Commercial,Y,0,0,NA
93955,10,2017,Gas- Commercial,N,460,79933,174
93955,11,2017,Gas- Commercial,N,463,89400,193
93955,12,2017,Gas- Commercial,N,458,130805,286
93960,10,2017,Gas- Commercial,Y,0,0,NA
93960,11,2017,Gas- Commercial,N,156,25093,161
93960,12,2017,Gas- Commercial,Y,250,48660,195
94002,10,2017,Gas- Commercial,N,447,75698,169
94002,11,2017,Gas- Commercial,N,445,90043,202
94002,12,2017,Gas- Commercial,N,444,129864,292
94005,10,2017,Gas- Commercial,N,140,46777,334
94005,11,2017,Gas- Commercial,Y,0,0,NA
94005,12,2017,Gas- Commercial,N,141,94865,673
94010,10,2017,Gas- Commercial,N,810,281862,348
94010,11,2017,Gas- Commercial,N,809,336440,416
94010,12,2017,Gas- Commercial,N,808,457403,566
94014,10,2017,Gas- Commercial,N,400,117118,293
94014,11,2017,Gas- Commercial,Y,808,380394,471
94014,12,2017,Gas- Commercial,N,401,157900,394
94015,10,2017,Gas- Commercial,N,267,161236,604
94015,11,2017,Gas- Commercial,Y,0,0,NA
94015,12,2017,Gas- Commercial,N,267,217705,815
94019,10,2017,Gas- Commercial,N,221,56858,257
94019,11,2017,Gas- Commercial,N,223,63943,287
94019,12,2017,Gas- Commercial,N,223,76817,344
94022,10,2017,Gas- Commercial,Y,0,0,NA
94022,11,2017,Gas- Commercial,Y,0,0,NA
94022,12,2017,Gas- Commercial,Y,0,0,NA
94024,10,2017,Gas- Commercial,Y,0,0,NA
94024,11,2017,Gas- Commercial,Y,0,0,NA
94024,12,2017,Gas- Commercial,Y,0,0,NA
94025,10,2017,Gas- Commercial,Y,0,0,NA
94025,11,2017,Gas- Commercial,Y,841,505087,601
94025,12,2017,Gas- Commercial,Y,767,698467,911
94027,10,2017,Gas- Commercial,Y,0,0,NA
94027,11,2017,Gas- Commercial,Y,0,0,NA
94027,12,2017,Gas- Commercial,Y,0,0,NA
94028,10,2017,Gas- Commercial,Y,0,0,NA
94028,11,2017,Gas- Commercial,Y,0,0,NA
94028,12,2017,Gas- Commercial,Y,0,0,NA
94030,10,2017,Gas- Commercial,Y,270,147361,546
94030,11,2017,Gas- Commercial,Y,272,153237,563
94030,12,2017,Gas- Commercial,Y,275,196045,713
94038,10,2017,Gas- Commercial,Y,0,0,NA
94038,11,2017,Gas- Commercial,Y,0,0,NA
94038,12,2017,Gas- Commercial,Y,0,0,NA
94040,10,2017,Gas- Commercial,Y,0,0,NA
94040,11,2017,Gas- Commercial,Y,0,0,NA
94040,12,2017,Gas- Commercial,Y,0,0,NA
94041,10,2017,Gas- Commercial,Y,0,0,NA
94041,11,2017,Gas- Commercial,Y,0,0,NA
94041,12,2017,Gas- Commercial,Y,0,0,NA
94043,10,2017,Gas- Commercial,Y,1549,698686,451
94043,11,2017,Gas- Commercial,Y,1537,810010,527
94043,12,2017,Gas- Commercial,Y,1672,1268932,759
94044,10,2017,Gas- Commercial,Y,297,62472,210
94044,11,2017,Gas- Commercial,Y,299,65256,218
94044,12,2017,Gas- Commercial,Y,299,79427,266
94061,10,2017,Gas- Commercial,Y,0,0,NA
94061,11,2017,Gas- Commercial,N,233,67124,288
94061,12,2017,Gas- Commercial,Y,395,183326,464
94062,10,2017,Gas- Commercial,Y,218,62089,285
94062,11,2017,Gas- Commercial,Y,221,75178,340
94062,12,2017,Gas- Commercial,Y,0,0,NA
94063,10,2017,Gas- Commercial,Y,2081,629150,302
94063,11,2017,Gas- Commercial,N,1031,308187,299
94063,12,2017,Gas- Commercial,N,1031,471760,458
94065,10,2017,Gas- Commercial,Y,0,0,NA
94065,11,2017,Gas- Commercial,Y,0,0,NA
94065,12,2017,Gas- Commercial,Y,0,0,NA
94066,10,2017,Gas- Commercial,N,423,117820,279
94066,11,2017,Gas- Commercial,Y,0,0,NA
94066,12,2017,Gas- Commercial,N,423,181979,430
94070,10,2017,Gas- Commercial,N,987,154062,156
94070,11,2017,Gas- Commercial,N,992,195129,197
94070,12,2017,Gas- Commercial,N,991,291973,295
94080,10,2017,Gas- Commercial,N,1050,823367,784
94080,11,2017,Gas- Commercial,Y,1474,1043779,708
94080,12,2017,Gas- Commercial,N,1055,1095684,1039
94085,10,2017,Gas- Commercial,Y,0,0,NA
94085,11,2017,Gas- Commercial,Y,0,0,NA
94085,12,2017,Gas- Commercial,Y,0,0,NA
94086,10,2017,Gas- Commercial,Y,0,0,NA
94086,11,2017,Gas- Commercial,Y,0,0,NA
94086,12,2017,Gas- Commercial,Y,0,0,NA
94087,10,2017,Gas- Commercial,Y,0,0,NA
94087,11,2017,Gas- Commercial,Y,0,0,NA
94087,12,2017,Gas- Commercial,Y,0,0,NA
94089,10,2017,Gas- Commercial,Y,0,0,NA
94089,11,2017,Gas- Commercial,Y,0,0,NA
94089,12,2017,Gas- Commercial,Y,0,0,NA
94102,10,2017,Gas- Commercial,N,448,259203,579
94102,11,2017,Gas- Commercial,N,449,273163,608
94102,12,2017,Gas- Commercial,N,451,323758,718
94103,10,2017,Gas- Commercial,N,1088,299311,275
94103,11,2017,Gas- Commercial,N,1093,360068,329
94103,12,2017,Gas- Commercial,N,1086,462027,425
94104,10,2017,Gas- Commercial,N,57,23845,418
94104,11,2017,Gas- Commercial,N,56,37029,661
94104,12,2017,Gas- Commercial,Y,0,0,NA
94105,10,2017,Gas- Commercial,N,172,143399,834
94105,11,2017,Gas- Commercial,N,173,189684,1096
94105,12,2017,Gas- Commercial,N,172,243789,1417
94107,10,2017,Gas- Commercial,Y,786,278086,354
94107,11,2017,Gas- Commercial,Y,789,334619,424
94107,12,2017,Gas- Commercial,Y,790,429848,544
94108,10,2017,Gas- Commercial,N,439,142869,325
94108,11,2017,Gas- Commercial,N,442,165534,375
94108,12,2017,Gas- Commercial,Y,496,229171,462
94109,10,2017,Gas- Commercial,N,665,221645,333
94109,11,2017,Gas- Commercial,N,664,283794,427
94109,12,2017,Gas- Commercial,Y,1132,553226,489
94110,10,2017,Gas- Commercial,N,1033,195185,189
94110,11,2017,Gas- Commercial,N,1037,221198,213
94110,12,2017,Gas- Commercial,N,1037,279877,270
94111,10,2017,Gas- Commercial,N,254,166394,655
94111,11,2017,Gas- Commercial,N,254,243337,958
94111,12,2017,Gas- Commercial,N,252,320123,1270
94112,10,2017,Gas- Commercial,N,439,91992,210
94112,11,2017,Gas- Commercial,Y,670,168874,252
94112,12,2017,Gas- Commercial,Y,669,229978,344
94114,10,2017,Gas- Commercial,Y,531,86920,164
94114,11,2017,Gas- Commercial,Y,532,106715,201
94114,12,2017,Gas- Commercial,Y,534,132679,248
94115,10,2017,Gas- Commercial,N,467,134230,287
94115,11,2017,Gas- Commercial,N,469,161196,344
94115,12,2017,Gas- Commercial,Y,0,0,NA
94116,10,2017,Gas- Commercial,Y,409,96944,237
94116,11,2017,Gas- Commercial,Y,410,107960,263
94116,12,2017,Gas- Commercial,Y,408,136867,335
94117,10,2017,Gas- Commercial,N,373,77792,209
94117,11,2017,Gas- Commercial,N,373,87287,234
94117,12,2017,Gas- Commercial,N,374,109885,294
94118,10,2017,Gas- Commercial,Y,613,144291,235
94118,11,2017,Gas- Commercial,Y,612,174245,285
94118,12,2017,Gas- Commercial,Y,611,226362,370
94121,10,2017,Gas- Commercial,N,310,80402,259
94121,11,2017,Gas- Commercial,Y,0,0,NA
94121,12,2017,Gas- Commercial,Y,0,0,NA
94122,10,2017,Gas- Commercial,N,531,112783,212
94122,11,2017,Gas- Commercial,Y,840,205876,245
94122,12,2017,Gas- Commercial,Y,837,239881,287
94123,10,2017,Gas- Commercial,N,476,103837,218
94123,11,2017,Gas- Commercial,N,473,110991,235
94123,12,2017,Gas- Commercial,N,475,128519,271
94124,10,2017,Gas- Commercial,Y,842,145959,173
94124,11,2017,Gas- Commercial,Y,851,172245,202
94124,12,2017,Gas- Commercial,Y,849,241044,284
94127,10,2017,Gas- Commercial,N,228,34277,150
94127,11,2017,Gas- Commercial,Y,0,0,NA
94127,12,2017,Gas- Commercial,Y,0,0,NA
94128,10,2017,Gas- Commercial,Y,0,0,NA
94128,11,2017,Gas- Commercial,Y,0,0,NA
94128,12,2017,Gas- Commercial,Y,0,0,NA
94129,10,2017,Gas- Commercial,Y,0,0,NA
94129,11,2017,Gas- Commercial,Y,0,0,NA
94129,12,2017,Gas- Commercial,Y,0,0,NA
94131,10,2017,Gas- Commercial,Y,0,0,NA
94131,11,2017,Gas- Commercial,Y,0,0,NA
94131,12,2017,Gas- Commercial,Y,0,0,NA
94132,10,2017,Gas- Commercial,Y,0,0,NA
94132,11,2017,Gas- Commercial,Y,0,0,NA
94132,12,2017,Gas- Commercial,Y,0,0,NA
94133,10,2017,Gas- Commercial,N,589,215740,366
94133,11,2017,Gas- Commercial,N,590,228887,388
94133,12,2017,Gas- Commercial,N,591,273511,463
94134,10,2017,Gas- Commercial,Y,0,0,NA
94134,11,2017,Gas- Commercial,Y,0,0,NA
94134,12,2017,Gas- Commercial,Y,0,0,NA
94158,10,2017,Gas- Commercial,Y,0,0,NA
94158,11,2017,Gas- Commercial,Y,0,0,NA
94158,12,2017,Gas- Commercial,Y,0,0,NA
94303,10,2017,Gas- Commercial,Y,0,0,NA
94303,11,2017,Gas- Commercial,Y,0,0,NA
94303,12,2017,Gas- Commercial,Y,0,0,NA
94304,10,2017,Gas- Commercial,Y,0,0,NA
94304,11,2017,Gas- Commercial,Y,0,0,NA
94304,12,2017,Gas- Commercial,Y,0,0,NA
94305,10,2017,Gas- Commercial,Y,0,0,NA
94305,11,2017,Gas- Commercial,Y,0,0,NA
94305,12,2017,Gas- Commercial,Y,0,0,NA
94306,10,2017,Gas- Commercial,Y,0,0,NA
94306,11,2017,Gas- Commercial,Y,0,0,NA
94306,12,2017,Gas- Commercial,Y,0,0,NA
94401,10,2017,Gas- Commercial,N,652,152385,234
94401,11,2017,Gas- Commercial,N,655,170033,260
94401,12,2017,Gas- Commercial,N,656,227086,346
94402,10,2017,Gas- Commercial,Y,0,0,NA
94402,11,2017,Gas- Commercial,Y,0,0,NA
94402,12,2017,Gas- Commercial,N,266,178332,670
94403,10,2017,Gas- Commercial,Y,1035,584230,564
94403,11,2017,Gas- Commercial,Y,1028,707326,688
94403,12,2017,Gas- Commercial,Y,766,768140,1003
94404,10,2017,Gas- Commercial,Y,0,0,NA
94404,11,2017,Gas- Commercial,Y,0,0,NA
94404,12,2017,Gas- Commercial,Y,0,0,NA
94501,10,2017,Gas- Commercial,N,716,164607,230
94501,11,2017,Gas- Commercial,Y,2165,678213,313
94501,12,2017,Gas- Commercial,Y,1570,664092,423
94502,10,2017,Gas- Commercial,Y,0,0,NA
94502,11,2017,Gas- Commercial,Y,0,0,NA
94502,12,2017,Gas- Commercial,Y,0,0,NA
94503,10,2017,Gas- Commercial,Y,0,0,NA
94503,11,2017,Gas- Commercial,Y,0,0,NA
94503,12,2017,Gas- Commercial,Y,0,0,NA
94505,10,2017,Gas- Commercial,Y,0,0,NA
94505,11,2017,Gas- Commercial,Y,0,0,NA
94505,12,2017,Gas- Commercial,Y,0,0,NA
94506,10,2017,Gas- Commercial,Y,183,61719,337
94506,11,2017,Gas- Commercial,Y,152,61308,403
94506,12,2017,Gas- Commercial,Y,152,91638,603
94507,10,2017,Gas- Commercial,Y,0,0,NA
94507,11,2017,Gas- Commercial,Y,0,0,NA
94507,12,2017,Gas- Commercial,Y,0,0,NA
94508,10,2017,Gas- Commercial,Y,0,0,NA
94508,11,2017,Gas- Commercial,Y,0,0,NA
94508,12,2017,Gas- Commercial,Y,0,0,NA
94509,10,2017,Gas- Commercial,Y,919,126876,138
94509,11,2017,Gas- Commercial,Y,1326,255054,192
94509,12,2017,Gas- Commercial,Y,927,272783,294
94510,10,2017,Gas- Commercial,Y,1176,242930,207
94510,11,2017,Gas- Commercial,N,528,73741,140
94510,12,2017,Gas- Commercial,N,527,132021,251
94513,10,2017,Gas- Commercial,Y,916,117704,128
94513,11,2017,Gas- Commercial,Y,917,147951,161
94513,12,2017,Gas- Commercial,Y,923,242099,262
94514,10,2017,Gas- Commercial,Y,0,0,NA
94514,11,2017,Gas- Commercial,Y,0,0,NA
94514,12,2017,Gas- Commercial,Y,0,0,NA
94515,10,2017,Gas- Commercial,Y,0,0,NA
94515,11,2017,Gas- Commercial,Y,0,0,NA
94515,12,2017,Gas- Commercial,Y,0,0,NA
94517,10,2017,Gas- Commercial,Y,0,0,NA
94517,11,2017,Gas- Commercial,Y,0,0,NA
94517,12,2017,Gas- Commercial,Y,0,0,NA
94518,10,2017,Gas- Commercial,Y,655,110899,169
94518,11,2017,Gas- Commercial,Y,665,156212,235
94518,12,2017,Gas- Commercial,Y,0,0,NA
94519,10,2017,Gas- Commercial,Y,0,0,NA
94519,11,2017,Gas- Commercial,Y,0,0,NA
94519,12,2017,Gas- Commercial,Y,452,123092,272
94520,10,2017,Gas- Commercial,N,1025,178968,175
94520,11,2017,Gas- Commercial,N,1031,246927,240
94520,12,2017,Gas- Commercial,N,1034,424492,411
